#S                                              mean_x                                      mean_xp
3.225000000000000000e+01 9.715351990764903301e-01 2.646968046475683956e-02
3.225000000000000000e+01 9.715351990764903301e-01 2.646968046475683956e-02
3.235999999999999943e+01 9.744468639276135935e-01 2.646968046475683956e-02
3.246999999999999886e+01 9.773585287787368570e-01 2.646968046475683956e-02
3.257999999999999829e+01 9.802701936298601204e-01 2.646968046475683956e-02
3.268999999999999773e+01 9.831818584809833839e-01 2.646968046475683956e-02
3.279999999999999716e+01 9.860935233321066473e-01 2.646968046475683956e-02
3.279999999999999716e+01 9.860935233321066473e-01 2.646968046475683956e-02
3.319999999999999574e+01 9.965650095477660564e-01 2.588672432798775833e-02
3.330999999999999517e+01 9.994125492238447039e-01 2.588672432798775833e-02
3.341999999999999460e+01 1.002260088899923351e+00 2.588672432798775833e-02
3.352999999999999403e+01 1.005107628576002110e+00 2.588672432798775833e-02
3.363999999999999346e+01 1.007955168252080869e+00 2.588672432798775833e-02
3.374999999999999289e+01 1.010802707928159627e+00 2.588672432798775833e-02
3.374999999999999289e+01 1.010802707928159627e+00 2.588672432798775833e-02
3.404999999999999005e+01 1.015428826792682537e+00 4.938132014065934640e-03
3.434999999999999432e+01 1.013762526437600897e+00 -1.604106096430060399e-02
3.464999999999999147e+01 1.005814132609143652e+00 -3.692085054022962998e-02
3.494999999999999574e+01 9.916328999914126863e-01 -5.757184863080834492e-02
3.524999999999999289e+01 9.713067069844780743e-01 -7.786608493043785384e-02
3.524999999999999289e+01 9.713067069844780743e-01 -7.786608493043785384e-02
3.535999999999999233e+01 9.627414376421299380e-01 -7.786608493043783996e-02
3.546999999999999176e+01 9.541761682997818017e-01 -7.786608493043782608e-02
3.557999999999999119e+01 9.456108989574336654e-01 -7.786608493043782608e-02
3.568999999999999062e+01 9.370456296150855291e-01 -7.786608493043782608e-02
3.579999999999999005e+01 9.284803602727373928e-01 -7.786608493043782608e-02
3.579999999999999005e+01 9.284803602727373928e-01 -7.786608493043782608e-02
3.599999999999999289e+01 9.129342901321940706e-01 -7.759537828801099657e-02
3.599999999999999289e+01 9.129342901321940706e-01 -7.759537828801099657e-02
3.619999999999999574e+01 8.974419047602640864e-01 -7.732923461355883932e-02
3.630999999999999517e+01 8.889356889527726402e-01 -7.732923461355885320e-02
3.641999999999999460e+01 8.804294731452811940e-01 -7.732923461355886707e-02
3.652999999999999403e+01 8.719232573377897477e-01 -7.732923461355888095e-02
3.663999999999999346e+01 8.634170415302983015e-01 -7.732923461355889483e-02
3.674999999999999289e+01 8.549108257228068553e-01 -7.732923461355889483e-02
3.674999999999999289e+01 8.549108257228068553e-01 -7.732923461355889483e-02
3.704999999999999005e+01 8.290871601636372601e-01 -9.473957822893028236e-02
3.734999999999999432e+01 7.981257992350955233e-01 -1.115628387054601739e-01
3.764999999999999147e+01 7.622186045993984971e-01 -1.276947654991754666e-01
3.794999999999999574e+01 7.215880863091325148e-01 -1.430353921293787689e-01
3.824999999999999289e+01 6.764860239547997312e-01 -1.574896556519372603e-01
3.824999999999999289e+01 6.764860239547997312e-01 -1.574896556519372603e-01
3.835999999999999233e+01 6.591621618330866239e-01 -1.574896556519372326e-01
3.846999999999999176e+01 6.418382997113735167e-01 -1.574896556519372048e-01
3.857999999999999119e+01 6.245144375896604094e-01 -1.574896556519371771e-01
3.868999999999999062e+01 6.071905754679473022e-01 -1.574896556519371493e-01
3.879999999999999005e+01 5.898667133462341949e-01 -1.574896556519371216e-01
3.879999999999999005e+01 5.898667133462341949e-01 -1.574896556519371216e-01
3.919999999999998863e+01 5.268039485818561962e-01 -1.578179875377991870e-01
3.930999999999998806e+01 5.094439699526982501e-01 -1.578179875377991870e-01
3.941999999999998749e+01 4.920839913235403595e-01 -1.578179875377991870e-01
3.952999999999998693e+01 4.747240126943824690e-01 -1.578179875377991870e-01
3.963999999999998636e+01 4.573640340652245784e-01 -1.578179875377991870e-01
3.974999999999998579e+01 4.400040554360666878e-01 -1.578179875377991870e-01
3.974999999999998579e+01 4.400040554360666878e-01 -1.578179875377991870e-01
4.004999999999998295e+01 3.913442569817147665e-01 -1.664130451949676626e-01
4.034999999999998721e+01 3.402593726334647295e-01 -1.739768728768332773e-01
4.064999999999998437e+01 2.870659656989771324e-01 -1.804625989825227039e-01
4.094999999999998863e+01 2.320936655991627517e-01 -1.858300327014927311e-01
4.124999999999998579e+01 1.756831252173818303e-01 -1.900459130683338493e-01
4.124999999999998579e+01 1.756831252173818303e-01 -1.900459130683338493e-01
4.135999999999998522e+01 1.547780747798651046e-01 -1.900459130683338216e-01
4.146999999999998465e+01 1.338730243423483790e-01 -1.900459130683337938e-01
4.157999999999998408e+01 1.129679739048316672e-01 -1.900459130683337661e-01
4.168999999999998352e+01 9.206292346731495546e-02 -1.900459130683337661e-01
4.179999999999998295e+01 7.115787302979824369e-02 -1.900459130683337661e-01
4.179999999999998295e+01 7.115787302979824369e-02 -1.900459130683337661e-01
4.199999999999998579e+01 3.315041010391434062e-02 -1.900305786920713502e-01
4.199999999999998579e+01 3.315041010391434062e-02 -1.900305786920713502e-01
4.219999999999998863e+01 -4.855103424170503779e-03 -1.900264189948157323e-01
4.230999999999998806e+01 -2.575800951360024058e-02 -1.900264189948157600e-01
4.241999999999998749e+01 -4.666091560302998431e-02 -1.900264189948157878e-01
4.252999999999998693e+01 -6.756382169245972458e-02 -1.900264189948158156e-01
4.263999999999998636e+01 -8.846672778188946484e-02 -1.900264189948158433e-01
4.274999999999998579e+01 -1.093696338713192051e-01 -1.900264189948158711e-01
4.274999999999998579e+01 -1.093696338713192051e-01 -1.900264189948158711e-01
4.304999999999998295e+01 -1.659797981160800184e-01 -1.871796648624674819e-01
4.334999999999998721e+01 -2.215614171352451867e-01 -1.831729939642848248e-01
4.364999999999998437e+01 -2.757700622120525802e-01 -1.780312348774373277e-01
4.394999999999998863e+01 -3.282698126880114198e-01 -1.717862501045676060e-01
4.424999999999998579e+01 -3.787353375992899562e-01 -1.644767386279998578e-01
4.424999999999998579e+01 -3.787353375992899562e-01 -1.644767386279998578e-01
4.435999999999998522e+01 -3.968277788483699497e-01 -1.644767386279998578e-01
4.446999999999998465e+01 -4.149202200974499433e-01 -1.644767386279998578e-01
4.457999999999998408e+01 -4.330126613465299368e-01 -1.644767386279998578e-01
4.468999999999998352e+01 -4.511051025956099303e-01 -1.644767386279998578e-01
4.479999999999998295e+01 -4.691975438446899238e-01 -1.644767386279998578e-01
4.479999999999998295e+01 -4.691975438446899238e-01 -1.644767386279998578e-01
4.519999999999998153e+01 -5.349304795107620025e-01 -1.641814973730841010e-01
4.530999999999998096e+01 -5.529904442218012139e-01 -1.641814973730840732e-01
4.541999999999998039e+01 -5.710504089328404254e-01 -1.641814973730840455e-01
4.552999999999997982e+01 -5.891103736438796368e-01 -1.641814973730840455e-01
4.563999999999997925e+01 -6.071703383549188482e-01 -1.641814973730840455e-01
4.574999999999997868e+01 -6.252303030659580596e-01 -1.641814973730840455e-01
4.574999999999997868e+01 -6.252303030659580596e-01 -1.641814973730840455e-01
4.604999999999997584e+01 -6.724966550791454667e-01 -1.507646925730842802e-01
4.634999999999998010e+01 -7.155956732862759351e-01 -1.364136276613398535e-01
4.664999999999997726e+01 -7.542602812725798245e-01 -1.212172334563280662e-01
4.694999999999998153e+01 -7.882508818196276579e-01 -1.052696791213108274e-01
4.724999999999997868e+01 -8.173568416437031470e-01 -8.866978861593573236e-02
4.724999999999997868e+01 -8.173568416437031470e-01 -8.866978861593573236e-02
4.735999999999997812e+01 -8.271105183914561065e-01 -8.866978861593574623e-02
4.746999999999997755e+01 -8.368641951392090661e-01 -8.866978861593576011e-02
4.757999999999997698e+01 -8.466178718869620257e-01 -8.866978861593577399e-02
4.768999999999997641e+01 -8.563715486347149852e-01 -8.866978861593578787e-02
4.779999999999997584e+01 -8.661252253824679448e-01 -8.866978861593580175e-02
4.779999999999997584e+01 -8.661252253824679448e-01 -8.866978861593580175e-02
4.799999999999997868e+01 -8.838848230011022711e-01 -8.892705785418528186e-02
4.799999999999997868e+01 -8.838848230011022711e-01 -8.892705785418528186e-02
4.819999999999998153e+01 -9.016963971450097093e-01 -8.918955641570147641e-02
4.830999999999998096e+01 -9.115072483507368206e-01 -8.918955641570149029e-02
4.841999999999998039e+01 -9.213180995564639320e-01 -8.918955641570150417e-02
4.852999999999997982e+01 -9.311289507621910433e-01 -8.918955641570151804e-02
4.863999999999997925e+01 -9.409398019679182656e-01 -8.918955641570153192e-02
4.874999999999997868e+01 -9.507506531736454880e-01 -8.918955641570154580e-02
4.874999999999997868e+01 -9.507506531736454880e-01 -8.918955641570154580e-02
4.904999999999997584e+01 -9.745340694079953625e-01 -6.928462252711142799e-02
4.934999999999998010e+01 -9.922784834526271469e-01 -4.895034501649733055e-02
4.964999999999997726e+01 -1.003873936550190082e+00 -2.831273153228363107e-02
4.994999999999998153e+01 -1.009248573884267142e+00 -7.499669438239126885e-03
5.024999999999997868e+01 -1.008369089850010836e+00 1.335986668025555303e-02
5.024999999999997868e+01 -1.008369089850010836e+00 1.335986668025555303e-02
5.035999999999997812e+01 -1.006899504515182731e+00 1.335986668025555130e-02
5.046999999999997755e+01 -1.005429919180354625e+00 1.335986668025555130e-02
5.057999999999997698e+01 -1.003960333845526520e+00 1.335986668025555130e-02
5.068999999999997641e+01 -1.002490748510698415e+00 1.335986668025555130e-02
5.079999999999997584e+01 -1.001021163175870310e+00 1.335986668025555130e-02
5.079999999999997584e+01 -1.001021163175870310e+00 1.335986668025555130e-02
5.119999999999997442e+01 -9.955596995138190630e-01 1.394691636488784407e-02
5.130999999999997385e+01 -9.940255387136813781e-01 1.394691636488784407e-02
5.141999999999997328e+01 -9.924913779135436931e-01 1.394691636488784407e-02
5.152999999999997272e+01 -9.909572171134060081e-01 1.394691636488784407e-02
5.163999999999997215e+01 -9.894230563132683232e-01 1.394691636488784407e-02
5.174999999999997158e+01 -9.878888955131306382e-01 1.394691636488784407e-02
5.174999999999997158e+01 -9.878888955131306382e-01 1.394691636488784407e-02
5.204999999999996874e+01 -9.806482630633395203e-01 3.429902405009972038e-02
5.234999999999997300e+01 -9.673307399291858344e-01 5.443858720983158622e-02
5.264999999999997016e+01 -9.480188522674188878e-01 7.424080480343869803e-02
5.294999999999997442e+01 -9.228322721711280652e-01 9.358296625651368883e-02
5.324999999999997158e+01 -8.919270760845673385e-01 1.123452118750623702e-01
5.324999999999997158e+01 -8.919270760845673385e-01 1.123452118750623702e-01
5.335999999999997101e+01 -8.795691027783104632e-01 1.123452118750623702e-01
5.346999999999997044e+01 -8.672111294720535879e-01 1.123452118750623702e-01
5.357999999999996987e+01 -8.548531561657967126e-01 1.123452118750623702e-01
5.368999999999996930e+01 -8.424951828595398373e-01 1.123452118750623702e-01
5.379999999999996874e+01 -8.301372095532829620e-01 1.123452118750623702e-01
5.379999999999996874e+01 -8.301372095532829620e-01 1.123452118750623702e-01
5.399999999999997158e+01 -8.076923549229402255e-01 1.121044343064852566e-01
5.399999999999997158e+01 -8.076923549229402255e-01 1.121044343064852566e-01
5.419999999999997442e+01 -7.852949963475199802e-01 1.118702489983603166e-01
5.430999999999997385e+01 -7.729892689577003706e-01 1.118702489983603304e-01
5.441999999999997328e+01 -7.606835415678807610e-01 1.118702489983603443e-01
5.452999999999997272e+01 -7.483778141780611515e-01 1.118702489983603582e-01
5.463999999999997215e+01 -7.360720867882415419e-01 1.118702489983603721e-01
5.474999999999997158e+01 -7.237663593984219323e-01 1.118702489983603859e-01
5.474999999999997158e+01 -7.237663593984219323e-01 1.118702489983603859e-01
5.504999999999996874e+01 -6.879974325923201572e-01 1.264660459816682181e-01
5.534999999999997300e+01 -6.479651166114639427e-01 1.402781569425186892e-01
5.564999999999997016e+01 -6.039174841004696370e-01 1.532209908575080659e-01
5.594999999999997442e+01 -5.561274898564405600e-01 1.652143434476823214e-01
5.624999999999997158e+01 -5.048912793800279797e-01 1.761838941891858690e-01
5.624999999999997158e+01 -5.048912793800279797e-01 1.761838941891858690e-01
5.635999999999997101e+01 -4.855110510192175433e-01 1.761838941891858412e-01
5.646999999999997044e+01 -4.661308226584071068e-01 1.761838941891858135e-01
