#mean_x                                     mean_xp
1.000000000000000000e+00 0.000000000000000000e+00
4.381464217188446586e-01 -1.709131128492055174e-01
4.381464217188446586e-01 -1.709131128492055174e-01
-6.160554262699931005e-01 -1.497699376394117654e-01
-6.160554262699931005e-01 -1.497699376394117654e-01
-9.779913829201987152e-01 3.967078833367881224e-02
-9.779913829201987152e-01 3.967078833367881224e-02
-2.409514235266717874e-01 1.845331655497648438e-01
-2.409514235266717874e-01 1.845331655497648438e-01
7.668473748677465673e-01 1.220343040144671737e-01
7.668473748677465673e-01 1.220343040144671737e-01
8.449868819261081576e-01 -1.016817760651384378e-01
8.449868819261081576e-01 -1.016817760651384378e-01
-1.104940186302849070e-01 -1.889708446436944023e-01
-1.104940186302849070e-01 -1.889708446436944023e-01
-9.418119996945228944e-01 -6.391202271450374672e-02
-9.418119996945228944e-01 -6.391202271450374672e-02
-7.148090965658345786e-01 1.329651965293301985e-01
-7.148090965658345786e-01 1.329651965293301985e-01
3.154299039496082924e-01 1.804284728594371945e-01
3.154299039496082924e-01 1.804284728594371945e-01
9.912180640030117118e-01 2.514298298979135773e-02
9.912180640030117118e-01 2.514298298979135773e-02
5.531673918223003472e-01 -1.583958568028168701e-01
5.531673918223003472e-01 -1.583958568028168701e-01
-5.064814373261362634e-01 -1.639441387362560731e-01
-5.064814373261362634e-01 -1.639441387362560731e-01
-9.969934506851190203e-01 1.473278130468332753e-02
-9.969934506851190203e-01 1.473278130468332753e-02
-3.671767884634286050e-01 1.768543695574863461e-01
-3.671767884634286050e-01 1.768543695574863461e-01
6.752390586782465176e-01 1.402434370692250687e-01
6.752390586782465176e-01 1.402434370692250687e-01
9.588839431928435353e-01 -5.396004931462913129e-02
9.588839431928435353e-01 -5.396004931462913129e-02
1.650240784290246399e-01 -1.875282421151616974e-01
1.650240784290246399e-01 -1.875282421151616974e-01
-8.142745242705459185e-01 -1.103696071933611134e-01
-8.142745242705459185e-01 -1.103696071933611134e-01
-8.785670166408793280e-01 9.081214519859961976e-02
-8.785670166408793280e-01 9.081214519859961976e-02
4.439253510778906620e-02 1.899476401281119664e-01
4.439253510778906620e-02 1.899476401281119664e-01
9.174678774579222429e-01 7.563761247354199024e-02
